hour,demand
0,7.61
1,7.72
2,7.16
3,7.44
4,11.23
5,10.99
6,13.86
7,14.11
8,16.11
9,19.88
10,20.59
11,22.82
12,22.95
13,23.46
14,21.15
15,24.17
16,21.16
17,20.59
18,16.13
19,17.23
20,12.61
21,9.1
22,11.09
23,8.22
0,7.71
1,5.35
2,8.07
3,7.18
4,6.77
5,11.6
6,10.8
7,14.83
8,18.15
9,20.33
10,21.32
11,22.54
12,23.15
13,24.83
14,21.98
15,21.98
16,18.41
17,17.04
18,15.12
19,13.38
20,12.11
21,10.14
22,10.12
23,9.8
0,8.87
1,8.0
2,7.28
3,5.95
4,10.67
5,11.16
6,14.92
7,12.85
8,17.32
9,19.22
10,21.99
11,21.46
12,23.3
13,23.7
14,21.04
15,22.0
16,19.82
17,20.39
18,18.86
19,15.34
20,15.0
21,10.45
22,8.8
23,10.14
0,6.77
1,7.55
2,5.04
3,9.38
4,11.24
5,11.09
6,14.43
7,12.38
8,18.26
9,19.91
10,19.21
11,21.66
12,20.92
13,23.78
14,22.16
15,22.05
16,21.43
17,17.48
18,18.12
19,14.6
20,12.67
21,11.18
22,11.46
23,7.21
0,7.51
1,8.52
2,8.13
3,8.2
4,9.63
5,10.1
6,12.26
7,17.17
8,19.21
9,19.55
10,19.64
11,22.12
12,23.24
13,21.96
14,23.54
15,19.89
16,20.08
17,18.74
18,16.17
19,15.52
20,12.81
21,11.17
22,9.91
23,6.73
0,6.92
1,6.01
2,7.59
3,9.12
4,8.27
5,11.01
6,12.55
7,16.47
8,16.8
9,17.25
10,21.68
11,23.17
12,21.38
13,25.08
14,22.63
15,21.17
16,19.22
17,18.44
18,18.26
19,13.64
20,13.54
21,10.65
22,10.58
23,7.2
0,7.92
1,6.82
2,5.52
3,9.31
4,9.02
5,9.19
6,13.94
7,14.9
8,18.02
9,20.52
10,20.19
11,22.12
12,21.48
13,23.18
14,22.93
15,23.56
16,20.41
17,18.15
18,15.26
19,13.89
20,12.8
21,10.96
22,10.49
23,6.16
0,6.81
1,6.58
2,4.31
3,9.63
4,8.67
5,11.73
6,12.75
7,13.78
8,17.26
9,18.88
10,20.96
11,21.59
12,21.67
13,21.6
14,24.33
15,21.97
16,18.88
17,18.47
18,17.55
19,15.62
20,12.54
21,11.59
22,9.9
23,7.41
0,7.15
1,7.02
2,7.5
3,6.5
4,9.59
5,12.15
6,11.74
7,15.48
8,18.05
9,19.4
10,19.64
11,23.19
12,21.18
13,20.98
14,22.48
15,22.15
16,19.6
17,19.98
18,17.04
19,14.79
20,13.26
21,13.41
22,8.48
23,6.58
0,5.57
1,7.04
2,9.8
3,7.69
4,8.92
5,10.49
6,13.91
7,14.76
8,17.05
9,19.67
10,20.07
11,21.6
12,21.67
13,21.97
14,23.73
15,22.52
16,20.21
17,20.31
18,17.25
19,15.35
20,13.48
21,11.27
22,10.46
23,8.72
0,6.33
1,6.42
2,9.33
3,9.53
4,7.97
5,10.03
6,15.82
7,15.91
8,20.62
9,17.96
10,20.93
11,21.62
12,21.96
13,24.67
14,21.09
15,22.97
16,20.61
17,18.03
18,16.76
19,15.71
20,12.58
21,9.59
22,7.38
23,7.26
0,7.48
1,6.45
2,5.35
3,6.8
4,8.71
5,12.04
6,11.05
7,16.16
8,18.36
9,17.76
10,20.92
11,22.18
12,21.56
13,22.38
14,23.73
15,19.95
16,19.52
17,19.85
18,18.09
19,15.19
20,12.28
21,7.24
22,9.46
23,9.0
0,8.25
1,5.47
2,8.4
3,7.06
4,9.29
5,10.8
6,12.73
7,13.54
8,16.33
9,17.63
10,24.59
11,20.85
12,23.72
13,23.97
14,23.03
15,22.23
16,19.72
17,20.47
18,17.04
19,13.18
20,12.7
21,10.14
22,9.41
23,10.3
0,7.1
1,6.58
2,7.42
3,8.18
4,9.87
5,11.03
6,13.63
7,12.97
8,16.74
9,17.37
10,20.16
11,21.29
12,19.68
13,21.86
14,22.53
15,20.34
16,21.61
17,18.03
18,17.18
19,14.65
20,12.94
21,12.21
22,10.2
23,7.39
0,8.13
1,7.8
2,6.73
3,8.42
4,11.62
5,13.39
6,12.96
7,13.55
8,17.39
9,18.39
10,21.74
11,22.25
12,24.03
13,23.24
14,21.07
15,21.97
16,19.25
17,20.39
18,15.72
19,16.03
20,11.41
21,11.26
22,9.73
23,8.3
0,8.12
1,6.37
2,7.28
3,8.44
4,11.01
5,10.08
6,12.89
7,14.72
8,17.94
9,17.57
10,19.5
11,21.25
12,23.49
13,23.43
14,21.48
15,21.42
16,21.46
17,19.08
18,16.03
19,15.69
20,10.71
21,9.75
22,11.34
23,10.01
0,8.1
1,7.5
2,6.94
3,8.28
4,9.55
5,13.34
6,10.62
7,16.19
8,16.07
9,21.09
10,21.47
11,20.81
12,23.05
13,24.05
14,22.68
15,19.34
16,22.11
17,19.87
18,15.81
19,14.97
20,13.89
21,11.26
22,9.79
23,9.25
0,7.15
1,5.16
2,8.24
3,8.72
4,10.89
5,10.52
6,13.13
7,15.95
8,16.92
9,20.46
10,19.95
11,22.78
12,21.87
13,22.49
14,22.85
15,20.85
16,21.78
17,18.54
18,18.82
19,15.49
20,11.64
21,11.29
22,9.14
23,6.68
0,9.59
1,9.27
2,7.88
3,8.84
4,10.09
5,11.17
6,13.67
7,13.83
8,17.05
9,17.69
10,20.73
11,21.18
12,23.22
13,22.18
14,23.29
15,24.15
16,19.73
17,20.34
18,18.46
19,15.73
20,10.62
21,12.53
22,10.04
23,7.51
0,7.52
1,7.46
2,7.14
3,6.54
4,8.75
5,10.36
6,11.33
7,13.95
8,17.22
9,17.21
10,21.15
11,21.12
12,24.37
13,21.48
14,23.9
15,22.88
16,17.95
17,17.2
18,16.05
19,13.22
20,13.61
21,12.39
22,8.47
23,8.2
0,6.82
1,6.52
2,8.42
3,10.03
4,8.97
5,10.94
6,11.81
7,17.2
8,16.9
9,17.59
10,22.15
11,20.43
12,22.71
13,23.2
14,24.53
15,24.01
16,21.03
17,19.7
18,15.63
19,18.12
20,11.04
21,11.08
22,9.44
23,8.45
0,8.45
1,9.9
2,9.94
3,7.1
4,8.37
5,12.26
6,12.64
7,15.54
8,16.31
9,19.77
10,21.47
11,23.99
12,21.81
13,22.76
14,23.6
15,23.04
16,20.02
17,17.05
18,14.63
19,13.68
20,10.33
21,11.71
22,9.29
23,8.2
0,7.25
1,8.51
2,8.29
3,7.91
4,7.94
5,10.07
6,10.5
7,15.31
8,16.89
9,19.95
10,21.48
11,21.76
12,23.23
13,22.17
14,22.6
15,20.85
