hour,demand
0,12.15
1,10.42
2,8.87
3,7.54
4,6.91
5,7.32
6,9.55
7,12.41
8,15.83
9,18.91
10,21.05
11,23.33
12,24.91
13,24.42
14,23.18
15,21.44
16,19.72
17,18.21
18,17.55
19,16.21
20,15.77
21,15.02
22,14.33
23,13.68
0,12.44
1,10.21
2,8.55
3,7.12
4,6.85
5,7.52
6,9.23
7,12.18
8,15.42
9,18.77
10,21.35
11,23.51
12,24.88
13,24.22
14,23.15
15,21.52
16,19.88
17,18.51
18,17.22
19,16.44
20,15.82
21,15.11
22,14.22
23,13.55
0,12.05
1,9.82
2,8.15
3,6.92
4,6.55
5,7.82
6,9.45
7,12.62
8,15.91
9,19.11
10,21.82
11,24.05
12,25.21
13,24.72
14,23.65
15,21.92
16,20.35
17,19.01
18,17.72
19,16.85
20,16.32
21,15.55
22,14.62
23,13.91
0,12.21
1,10.05
2,8.32
3,7.01
4,6.72
5,7.65
6,9.32
7,12.35
8,15.62
9,18.91
10,21.55
11,23.72
12,25.01
13,24.52
14,23.41
15,21.75
16,20.12
17,18.82
18,17.51
19,16.62
20,16.11
21,15.35
22,14.41
23,13.72
0,12.35
1,10.15
2,8.41
3,7.11
4,6.81
5,7.72
6,9.41
7,12.45
8,15.72
9,19.01
10,21.65
11,23.82
12,25.11
13,24.62
14,23.51
15,21.85
16,20.22
17,18.92
18,17.61
19,16.72
20,16.21
21,15.45
22,14.51
23,13.82
0,12.11
1,9.91
2,8.21
3,6.91
4,6.62
5,7.55
6,9.25
7,12.21
8,15.55
9,18.82
10,21.41
11,23.61
12,24.91
13,24.41
14,23.31
15,21.61
16,20.01
17,18.71
18,17.41
19,16.51
20,16.01
21,15.25
22,14.31
23,13.61
0,12.28
1,10.08
2,8.35
3,7.05
4,6.75
5,7.68
6,9.38
7,12.42
8,15.68
9,18.98
10,21.58
11,23.78
12,25.08
13,24.58
14,23.48
15,21.78
16,20.18
17,18.88
18,17.58
19,16.68
20,16.18
21,15.38
22,14.48
23,13.78
