hour,demand
0,6.58
1,7.34
2,6.53
3,6.73
4,9.6
5,11.68
6,12.38
7,13.8
8,17.15
9,19.3
10,19.36
11,22.58
12,22.49
13,22.62
14,22.76
15,20.25
16,20.52
17,18.23
18,16.92
19,12.07
20,13.47
21,10.96
22,10.53
23,7.97
0,6.68
1,7.14
2,8.19
3,6.69
4,9.99
5,11.74
6,11.81
7,13.17
8,17.85
9,19.08
10,21.46
11,20.93
12,21.16
13,22.34
14,19.95
15,22.56
16,21.26
17,19.3
18,16.27
19,15.2
20,14.23
21,11.11
22,8.08
23,9.2
0,5.85
1,7.55
2,7.58
3,10.76
4,12.46
5,11.5
6,15.22
7,14.16
8,17.92
9,19.58
10,19.91
11,21.46
12,22.83
13,24.65
14,22.58
15,24.97
16,22.91
17,18.28
18,17.53
19,15.07
20,13.56
21,10.94
22,9.68
23,4.94
0,7.87
1,7.52
2,6.44
3,7.02
4,11.54
5,12.94
6,12.87
7,17.13
8,15.74
9,16.87
10,20.64
11,24.0
12,23.66
13,22.39
14,23.29
15,19.28
16,20.61
17,18.25
18,17.72
19,16.39
20,11.56
21,11.57
22,9.52
23,9.14
0,8.32
1,7.25
2,6.22
3,8.46
4,10.99
5,10.16
6,13.76
7,15.66
8,18.79
9,17.07
10,22.1
11,21.14
12,23.59
13,22.5
14,22.83
15,21.36
16,21.35
17,19.05
18,18.12
19,16.19
20,12.93
21,12.32
22,8.17
23,8.6
0,7.74
1,8.04
2,7.11
3,6.47
4,10.56
5,11.14
6,11.5
7,15.31
8,15.73
9,19.57
10,20.88
11,22.03
12,21.73
13,23.69
14,22.76
15,23.1
16,18.6
17,18.05
18,16.76
19,12.55
20,13.02
21,11.63
22,7.23
23,7.11
0,6.2
1,9.19
2,8.55
3,7.8
4,8.13
5,11.83
6,13.52
7,15.33
8,17.14
9,17.82
10,20.61
11,21.24
12,22.52
13,23.77
14,22.19
15,21.78
16,21.48
17,18.18
18,18.25
19,15.52
20,12.86
21,9.79
22,9.5
23,8.08
0,7.24
1,6.64
2,7.61
3,7.31
4,10.11
5,10.45
6,14.07
7,14.02
8,17.01
9,19.08
10,19.67
11,23.07
12,25.28
13,22.31
14,22.94
15,21.43
16,18.57
17,19.71
18,17.37
19,13.7
20,12.34
21,10.22
22,9.44
23,7.38
0,7.94
1,5.66
2,5.76
3,6.76
4,8.84
5,12.78
6,13.58
7,16.77
8,17.6
9,21.6
10,20.79
11,23.88
12,23.64
13,22.52
14,22.14
15,24.08
16,21.24
17,18.56
18,18.68
19,14.22
20,14.34
21,10.77
22,10.82
23,7.39
0,6.87
1,9.58
2,6.36
3,7.43
4,8.62
5,10.26
6,13.59
7,14.37
8,16.38
9,18.52
10,20.88
11,21.76
12,25.4
13,21.51
14,25.3
15,20.93
16,21.12
17,21.03
18,16.66
19,16.29
20,12.97
21,10.21
22,9.16
23,8.73
0,6.22
1,6.29
2,7.77
3,8.54
4,8.38
5,11.26
6,13.28
7,15.6
8,17.06
9,19.16
10,20.08
11,23.1
12,24.47
13,22.71
14,24.41
15,20.55
16,21.19
17,19.07
18,15.97
